name;full_name;birth_date;age;height_cm;weight_kgs;positions;nationality;overall_rating;potential;value_euro;wage_euro;preferred_foot
A. Altuna;Alejandro Altuna;1/19/1992;27;182.88;73.9;CDM,CM;Argentina;62;65;325000;2000;Right
B. Kennedy;Ben Kennedy;1/12/1997;22;152.4;69.9;RM,ST,LM;Northern Ireland;62;70;450000;2000;Left
I. Näsberg;Ivan Näsberg;4/22/1996;22;185.42;79.8;CB,LB;Norway;62;71;400000;1000;Left
L. Sapela;Łukasz Sapela;9/21/1982;36;185.42;81.2;GK;Poland;62;62;70000;1000;Left
S. Hyodo;兵藤 慎剛;7/29/1985;33;172.72;68;CM,RM,LM,CAM;Japan;62;62;230000;1000;Right
M. Baude;Marcel Baude;10/5/1989;29;152.4;76.2;RB;Germany;62;62;240000;1000;Right
L. Dennis;Louis Dennis;10/9/1992;26;185.42;68.9;CAM,LM,RM;England;62;65;375000;2000;Right
P. Hellquist;Philip Hellquist;5/21/1991;27;182.88;73;ST,LW,CAM;Sweden;62;63;350000;1000;Right
L. Jonsson;Lukas Jonsson;10/21/1992;26;190.5;94.8;GK;Sweden;62;66;280000;1000;Right
A. Mehring;Andrés Mehring;4/19/1994;24;190.5;82.1;GK;Argentina;62;70;325000;2000;Right
R. Koczor;Raphael Koczor;1/17/1989;30;193.04;78;GK;Germany;62;63;240000;1000;Right
B. Schwarz;Benjamin Schwarz;7/10/1986;32;154.94;74.8;CDM,LB;Germany;62;62;200000;1000;Left
W. Omsberg;Wyatt Omsberg;9/21/1995;23;193.04;81.2;CB;United States;62;72;425000;1000;Right
Lee Sang Ki;이상기 李相吉;5/7/1996;22;152.4;78.9;RB,LW;Korea Republic;62;71;400000;1000;Right
N. Barona;Neider Barona;7/11/1997;21;175.26;64.9;LM;Colombia;62;77;675000;1000;Right
D. Kudła;Dawid Kudła;3/21/1992;26;187.96;83.9;GK;Poland;62;66;270000;1000;Right
D. Kopacz;David Kopacz;5/29/1999;19;154.94;69.9;CAM,LW,RB;Poland;62;76;650000;3000;Right
M. Hiller;Marco Hiller;2/20/1997;22;187.96;84.8;GK;Germany;62;69;325000;1000;Right
S. Cibois;Sébastien Cibois;3/2/1998;21;193.04;82.1;GK;France;62;79;550000;5000;Right
Kim Kyung Jung;김경중 金京中;4/16/1991;27;152.4;71.2;LW,LM;Korea Republic;62;62;325000;1000;Right
B. Castrillon;Bryan Castrillon;3/30/1999;19;170.18;63;LW,RM;Colombia;62;80;650000;1000;Right
A. Bakayoko;Axel Mohamed Bakayoko;1/6/1998;21;152.4;68.9;RW,RB;France;62;75;575000;7000;Right
A. Taylor-Sinclair;Aaron Taylor-Sinclair;4/8/1991;27;187.96;82.1;LB,CB;Scotland;62;63;280000;1000;Left
B. Fofana;Boubacar Fofana;9/7/1998;20;175.26;69.9;LM;France;62;80;650000;1000;Right
Lee Min Gi;이민기 李敏基;5/19/1993;25;175.26;71.2;LB;Korea Republic;62;66;325000;1000;Left
O. Marrufo;Omar Marrufo;7/2/1992;26;170.18;68;ST;Mexico;62;65;375000;2000;Right
A. Al Ammar;Abdullah Al Ammar;3/1/1994;25;152.4;72.1;LB,LM;Saudi Arabia;62;68;350000;5000;Left
Jwa Joon Hyeop;좌준협 左峻协;5/7/1991;27;152.4;72.1;CM;Korea Republic;62;62;300000;1000;Right
Y. Ammour;Yanis Ammour;5/21/1999;19;182.88;69.9;ST;France;62;77;650000;2000;Left
C. Mamengi;Christopher Mamengi;4/3/2001;17;152.4;83;CB,LB;Netherlands;62;79;550000;1000;Left
A. Jafar;Abdulwahab Jafar;9/15/1993;25;165.1;62.1;RM,CM;Saudi Arabia;62;65;375000;2000;Right
J. Rebolledo;Jonathan Rebolledo;10/22/1991;27;170.18;68;RM,RB;Chile;62;62;325000;1000;Left
A. Pelvas;Akseli Pelvas;2/8/1989;30;154.94;77.1;ST,LW,RW,LM;Finland;62;62;300000;1000;Left
M. Makasi;Moses Makasi;9/22/1995;23;154.94;72.1;CM,CDM;England;62;69;425000;10000;Right
G. Byers;George Byers;5/29/1996;22;154.94;73;CM;Scotland;62;70;450000;4000;Right
L. Rodríguez;Luis Ángel Rodríguez Ayazo;2/15/1995;24;182.88;69.9;CB;Colombia;62;68;350000;1000;Right
Sun Shilin;孙世林;10/24/1988;30;152.4;72.1;CDM,CM,RB;China PR;62;62;240000;3000;Right
C. Operi;Christopher Operi;4/29/1997;21;182.88;78.9;LWB,LB;Ivory Coast;62;75;525000;1000;Left
J. Coppens;Jo Coppens;12/21/1990;28;190.5;79.8;GK;Belgium;62;64;250000;1000;Left
B. Šerbečić;Besim Šerbečić;5/1/1998;20;193.04;79.8;CB;Bosnia Herzegovina;62;73;450000;1000;Right
W. Miller;Will Miller;6/8/1996;22;167.64;66.2;LM,ST,RM;England;62;69;425000;2000;Right
D. Foulon;Daam Foulon;3/23/1999;19;154.94;78;LB,LM;Belgium;62;74;450000;1000;Left
J. Kade;Julius Kade;5/20/1999;19;154.94;67.1;CAM,LB;Germany;62;79;650000;2000;Left
H. Belal;Hatim Belal;1/30/1994;25;185.42;73.9;CDM,CB;Saudi Arabia;62;66;325000;3000;Right
Pedro Pelágio;Pedro Henrique Rocha Pelágio;4/21/2000;18;154.94;64.9;CM;Portugal;62;75;525000;1000;Right
G. Mainero;Guido Mainero;3/23/1995;23;152.4;66.2;RW,RM;Argentina;62;70;450000;3000;Right
D. Mazzocco;Davide Mazzocco;10/6/1995;23;185.42;81.2;CM,CDM;Italy;62;67;400000;1000;Right
Kim Do Hyung;김도형 金道亨;10/6/1990;28;154.94;69.9;RM;Korea Republic;62;62;325000;2000;Right
D. Wright;Drey Jermaine Wright;4/30/1995;23;175.26;68.9;RM,ST;England;62;69;425000;1000;Right
C. Raglan;Charlie Raglan;4/28/1993;25;185.42;74.8;CB,RB;England;62;64;300000;2000;Right
Du Zhenyu;杜震宇;2/1/1983;36;175.26;69.9;LM,CM;China PR;62;62;130000;2000;Left
M. Ofkir;Mohamed Ofkir;8/4/1996;22;152.4;71.2;RM,LM;Norway;62;70;450000;1000;Right
M. Kühne;Matthias Kühne;9/27/1987;31;152.4;78;RB,CB;Germany;62;62;220000;1000;Right
F. Báez;Francisco Báez;8/11/1991;27;154.94;73.9;CB;Paraguay;62;64;300000;1000;Right
Kike;Enrique Gómez Hermoso;8/10/1999;19;190.5;76.2;CB,CDM;Spain;62;72;400000;1000;Right
J. Clisby;Jack Clisby;2/16/1992;27;154.94;72.1;LWB,LB;Australia;62;63;290000;1000;Left
Ko Kyung Min;고경민 柯京闽;4/11/1987;31;152.4;71.2;ST;Korea Republic;62;62;270000;2000;Right
M. O'Brien;Mark O'Brien;11/20/1992;26;154.94;77.1;CB;Republic of Ireland;62;63;300000;2000;Right
J. Segre;Jacopo Segre;2/17/1997;22;185.42;74.8;CM;Italy;62;71;475000;5000;Right
A. Lotti;Augusto Lotti;6/10/1996;22;152.4;69.9;ST;Argentina;62;71;475000;3000;Right
Longchang Lin;林隆昌;2/24/1990;29;187.96;82.1;CB;China PR;62;62;250000;3000;Right
A. Leitch-Smith;Ajay Leitch-Smith;3/6/1990;29;172.72;74.8;ST,CAM;England;62;62;325000;2000;Right
D. Grubb;Dayle Grubb;7/24/1991;27;182.88;82.1;RM,LM,CAM;England;62;62;325000;3000;Right
B. Kraev;Bozhidar Kraev;6/23/1997;21;185.42;69.9;CM,ST,RW;Bulgaria;62;72;475000;3000;Right
L. Jackson;Lachlan Jackson;3/12/1995;23;193.04;83;CB,LB;Australia;62;66;325000;1000;Left
D. Duarte;Daniel Duarte Romero;5/24/1985;33;154.94;72.1;CDM,CB,CM;Mexico;62;62;120000;1000;Right
A. Falch;Aslak Falch;5/25/1992;26;185.42;81.2;GK;Norway;62;65;260000;1000;Left
Feng Zhuoyi;冯卓毅;6/18/1989;29;182.88;74.8;CM;China PR;62;62;290000;3000;Right
M. Bottani;Alessio Bottani;5/24/1991;27;170.18;63;ST,LW,CAM;Switzerland;62;63;350000;2000;Right
T. Broadbent;Tom Broadbent;2/15/1992;27;190.5;89.8;CB;England;62;62;260000;3000;Left
G. Wojtkowiak;Grzegorz Wojtkowiak;1/26/1984;35;182.88;74.8;RB,CB;Poland;62;62;90000;2000;Right
S. Kavanagh;Sean Kavanagh;1/20/1994;25;175.26;62.1;LB,LM,CM;Republic of Ireland;62;66;325000;1000;Left
Zhang Chiming;张池明;1/7/1989;30;154.94;74.8;RM,LM,RW;China PR;62;62;300000;3000;Right
Dani Reina;Daniel Reina Ávila;4/10/1999;19;175.26;63;RB;Spain;62;77;575000;1000;Right
F. Baak;Florian Baak;3/18/1999;19;185.42;74.8;CB;Germany;62;73;450000;2000;Right
S. Rasswalder;Siegfried Rasswalder;5/13/1987;31;175.26;67.1;LB,LM;Austria;62;62;200000;2000;Left
Tiagildo Serra;Tiago Jessé Serra da Silveira;2/29/1988;31;175.26;69.9;ST,LW;Brazil;62;62;290000;3000;Left
L. D'Ath;Lawson D'Ath;12/24/1992;26;175.26;77.1;RM,LM,CM;England;62;63;350000;3000;Right
S. Nakahara;中原 彰吾;5/19/1994;24;152.4;68;CM;Japan;62;66;400000;1000;Right
K. Yamamoto;山本 康裕;10/29/1989;29;152.4;78.9;CM,CDM,RB;Japan;62;62;300000;1000;Right
R. Delaney;Ryan Delaney;9/6/1996;22;187.96;72.1;CB;Republic of Ireland;62;72;425000;1000;Left
A. Collin;Adam Collin;12/9/1984;34;190.5;78;GK;England;62;62;150000;2000;Right
O. Malik;Osama Malik;9/30/1990;28;185.42;74.8;CDM,CB;Australia;62;62;260000;3000;Right
T. David;Trevor David;1/28/1997;22;154.94;69.9;RB;Netherlands;62;68;350000;1000;Right
A. Bray;Alexander Bray;7/25/1995;23;152.4;66.2;RM;England;62;68;425000;5000;Right
Luo Xin;罗歆;2/7/1990;29;182.88;74.8;CB;China PR;62;63;280000;2000;Right
Antón;Antón Escobar Tapiias;6/16/1998;20;185.42;74.8;ST;Spain;62;73;525000;2000;Right
Y. Fekir;Yassin Fekir;5/5/1997;21;170.18;64.9;LW,RW;France;62;74;550000;7000;Right
W. Al Anazi;Waleed Hezam Al Anazi;12/19/1994;24;167.64;68;CM,CDM;Saudi Arabia;62;69;425000;5000;Right
F. Stritzel;Florian Stritzel;1/31/1994;25;198.12;92.1;GK;Germany;62;66;280000;2000;Right
R. Griffiths;Reo Griffiths;6/27/2000;18;154.94;76.2;ST;England;62;84;700000;5000;Right
J. Delem;Jordi Jose Delem;3/18/1993;25;154.94;71.2;CDM,RB;France;62;66;325000;1000;Right
M. Al Enazi;Muhanna Al Enazi;11/18/1983;35;160.02;59;RB,RWB;Saudi Arabia;62;62;90000;3000;Right
Y. Delfi;Younes Delfi;10/2/2000;18;182.88;73;RW,LW,ST;Iran;62;77;600000;2000;Right
M. Thalhammer;Maximilian Thalhammer;7/10/1997;21;190.5;82.1;CM,CDM;Germany;62;72;475000;3000;Right
M. Degerlund;Marcus Degerlund;3/16/1998;20;195.58;87.1;CB;Sweden;62;69;375000;1000;Left
H. White;Hayden White;4/15/1995;23;185.42;68;RWB,RB;England;62;69;350000;3000;Right
B. Garratt;Ben Garratt;4/25/1994;24;185.42;66.2;GK;England;62;69;325000;2000;Right
W. Pawłowski;Wojciech Pawłowski;1/18/1993;26;190.5;79.8;GK;Poland;62;65;270000;1000;Right
V. Emmersón;Vladis Emmersón;10/7/1995;23;195.58;84.8;CB;Congo;62;71;400000;2000;Right
A. Dadakdeniz;Ataberk Dadakdeniz;8/5/1999;19;193.04;83.9;GK;Turkey;62;75;425000;1000;Right
Li Shuai;李帅;6/18/1995;23;152.4;69.9;LB;China PR;62;70;375000;2000;Right
M. Pronichev;Maximilian Pronichev;11/17/1999;19;182.88;78;CF,ST,RW;Russia;62;78;625000;3000;Right
N. Díaz;Nicolás Díaz;5/20/1999;19;152.4;74.8;CB,RB;Chile;62;73;450000;1000;Left
A. Fontana;Anthony Fontana;10/14/1999;19;172.72;68;CAM;United States;62;74;500000;1000;Right
J. Díaz;Jair Alberto Díaz Vázquez;8/21/1998;20;154.94;78;LB;Mexico;62;73;450000;3000;Left
H. Al Habib;Hassan Jamal Al Habib;9/14/1994;24;182.88;81.2;CM,CAM;Saudi Arabia;62;68;400000;4000;Right
N. Rinderknecht;Nico Rinderknecht;10/11/1997;21;182.88;77.1;CM,CDM;Germany;62;71;475000;3000;Right
O. Shenton;Ollie Shenton;11/6/1997;21;175.26;77.1;CM,CAM;England;62;76;650000;5000;Left
J. Anderson;Jermaine Anderson;5/16/1996;22;187.96;74.8;CM;England;62;70;450000;2000;Left
C. Daniel;Colin Daniel;2/15/1988;31;154.94;73;LB;England;62;62;220000;2000;Left
D. Petrovic;Danijel Petrovic;11/27/1992;26;185.42;79.8;CB;Serbia;62;67;350000;3000;Right
A. Startsev;Andrej Startsev;6/7/1994;24;175.26;72.1;RB;Kazakhstan;62;65;325000;1000;Right
N. Stierlin;Niclas Stierlin;1/22/2000;19;182.88;74.8;CDM,CB;Germany;62;76;575000;3000;Right
J. Odgaard;Jens Odgaard;3/31/1999;19;187.96;79.8;ST,RM;Denmark;62;80;650000;4000;Left
K. Fukai;深井 一希;3/11/1995;23;152.4;72.1;CM,CDM;Japan;62;68;400000;1000;Right
F. Barceló;Facundo Barceló;3/31/1993;25;175.26;78;ST;Uruguay;62;67;400000;4000;Right
Hwang ByeongGeun;황병근 黄秉根;6/14/1994;24;193.04;93;GK;Korea Republic;62;69;325000;1000;Right
B. Comley;Brandon Comley;11/18/1995;23;154.94;72.1;CM,CDM;Montserrat;62;70;450000;3000;Right
J. Brandon;Jamie Brandon;2/5/1998;21;175.26;69.9;RB,RM,LB,RWB;Scotland;62;75;525000;1000;Right
D. Hernández;Diego Hernández;8/13/1999;19;172.72;79.8;LW;Mexico;62;74;500000;3000;Left
K. Mawatari;馬渡 和彰;6/23/1991;27;175.26;69.9;RB,LB;Japan;62;63;280000;2000;Right
A. Dávila;Fabián Agustín Dávila Silva;2/20/1999;20;152.4;72.1;ST;Uruguay;62;76;650000;3000;Left
M. Rodriguez;Memo Rodriguez;12/27/1995;23;172.72;64.9;LW,CM;United States;62;71;475000;1000;Right
B. Kukeli;Burim Kukeli;1/16/1984;35;154.94;72.1;CM,CDM;Albania;62;62;150000;5000;Left
I. Lučić;Ivan Lučić;3/23/1995;23;193.04;98;GK;Austria;62;69;325000;2000;Right
J. Vagnoman;Josha Mamadou Karaboue Vagnomann;12/11/2000;18;187.96;86.2;LB,RB;Germany;62;84;600000;1000;Right
F. Rodríguez;Francisco Rodríguez;9/14/1995;23;152.4;78;CAM,RM,LM;Switzerland;62;69;425000;2000;Right
Marc Vales;Marc Vales Gonzalez;4/4/1990;28;182.88;78.9;CB,CDM,RB;Andorra;62;64;290000;1000;Right
V. Leikvoll Moberg;Vegard  Leikvoll Moberg;1/23/1991;28;190.5;84.8;CM,CDM;Norway;62;62;300000;1000;Right
C. Woodman;Craig Alan Woodman;12/22/1982;36;175.26;68;LB;England;62;62;70000;2000;Left
S. Ohlsson;Sebastian Ohlsson;12/31/1992;26;185.42;78;CDM,CM;Sweden;62;67;350000;1000;Right
E. Seidou;Edson Seidou;10/6/1991;27;182.88;87.1;LB;France;62;63;290000;1000;Left
D. Cardozo;Diego Daniel Cardozo;6/2/1987;31;170.18;66.2;RM,LM;Argentina;62;62;270000;3000;Left
M. Biamou;Maxime Biamou;11/13/1990;28;185.42;83;ST;France;62;62;325000;2000;Right
E. Riis Jakobsen;Emil Riis Jakobsen;6/24/1998;20;190.5;83.9;ST;Denmark;62;72;500000;2000;Right
Prendes;Alejandro Prendes Reina;4/12/1997;21;187.96;74.8;CB;Spain;62;72;425000;1000;Right
M. Cassara;Maxime Cassara;8/21/1991;27;190.5;91.2;GK;France;62;65;260000;1000;Right
P. Anderson;Paul Anderson;7/23/1988;30;175.26;64.9;RM,RB;England;62;62;300000;2000;Right
G. Jones;Gethin Jones;10/13/1995;23;152.4;73.9;RWB,LWB;Wales;62;69;350000;2000;Right
D. Wilson;Donovan Wilson;3/14/1997;21;182.88;76.2;ST;England;62;72;500000;8000;Left
C. Ogilvie;Connor Ogilvie;2/14/1996;23;182.88;82.1;LB,LWB;England;62;71;400000;9000;Left
M. Dolan;Matthew Dolan;2/11/1993;26;175.26;69.9;CM;England;62;64;375000;2000;Left
Yu Dabao;于大宝;4/18/1988;30;182.88;78;CB;China PR;62;62;230000;3000;Right
M. Hjulmand;Morten Hjulmand;6/25/1999;19;185.42;78;CM;Denmark;62;73;500000;1000;Right
Fran Serrano;Francisco José Serrano Santos;4/20/1995;23;193.04;84.8;CB;Spain;62;69;375000;1000;Right
T. Söderström;Tim Söderström;1/4/1994;25;187.96;76.2;CM;Sweden;62;67;400000;1000;Right
J. Cejas;Juan Bautista Cejas;3/6/1998;21;175.26;69.9;CAM,RM;Argentina;62;76;675000;2000;Right
J. Kotzke;Jonatan Kotzke;3/18/1990;28;182.88;74.8;CDM,CB;Germany;62;62;250000;4000;Right
J. Shackleton;Jamie Shackleton;10/8/1999;19;170.18;64.9;RB,CM;England;62;79;550000;3000;Right
C. Alcock;Craig Alcock;12/8/1987;31;172.72;69.9;RB,CB;England;62;62;220000;2000;Right
Álex Blanco;Alejandro Blanco Sánchez;12/16/1998;20;175.26;69.9;LM,RM;Spain;62;74;525000;3000;Left
Ba Dun;巴顿;9/16/1995;23;154.94;72.1;CAM,LM,RM,ST;China PR;62;69;425000;3000;Right
G. Sandomierski;Grzegorz Sandomierski;9/5/1989;29;195.58;86.2;GK;Poland;62;62;210000;2000;Left
R. Aït Nouri;Rayan Aït Nouri;6/6/2001;17;152.4;69.9;LB;France;62;81;525000;2000;Left
J. Dem;Jamil Dem;3/9/1993;25;182.88;72.1;CDM,CB;Germany;62;65;325000;1000;Right
M. Yamane;山根 視来;12/22/1993;25;152.4;68.9;CB,CDM;Japan;62;68;350000;1000;Right
T. Sawada;泽田 崇;5/26/1991;27;170.18;63;RW,CAM,LW;Japan;62;62;325000;1000;Right
S. Barreto;Sergio Barreto;4/20/1999;19;182.88;78;CB;Argentina;62;77;600000;1000;Right
K. Lejeune;Kévin Lejeune;1/22/1985;34;154.94;81.2;LB,LM;France;62;62;120000;1000;Left
W. Piñones;Wilson Piñones;4/7/1988;30;175.26;69.9;CDM,LB;Chile;62;62;230000;1000;Right
T. Davies;Tom Davies;4/18/1992;26;185.42;69.9;CB;England;62;65;325000;2000;Right
S. Sama;Stephen Sama;3/5/1993;26;187.96;87.1;CB;Germany;62;67;350000;1000;Right
Fran Cruz;Francisco Pablo Cruz Torres;6/22/1991;27;182.88;73;CB,CDM;Spain;62;62;260000;1000;Right
K. Nakamura;中村 敬斗;7/28/2000;18;154.94;74.8;RM,CAM;Japan;62;80;600000;1000;Right
A. Eisa;Abobaker Eisa;1/5/1997;22;154.94;74.8;LM;Sudan;62;74;550000;1000;Right
S. Byrne;Shaun Byrne;6/9/1993;25;182.88;73.9;CM;Scotland;62;65;375000;1000;Right
T. Fukumitsu;福満 隆貴;2/22/1992;27;170.18;63;RM,LM,CF;Japan;62;62;325000;2000;Right
I. Meslier;Illan Meslier;3/2/2000;19;195.58;73.9;GK;France;62;80;500000;1000;Right
L. McCormick;Luke McCormick;8/15/1983;35;182.88;88;GK;England;62;62;120000;2000;Right
V. Vasic;Vaso Vasić;4/26/1990;28;185.42;79.8;GK;Serbia;62;64;250000;2000;Right
O. Banks;Ollie Banks;9/21/1992;26;190.5;74.8;CM;England;62;65;375000;2000;Right
Zhang Yu;张瑀;5/7/1994;24;187.96;79.8;CB;China PR;62;69;375000;3000;Left
O. Macías;Óscar Uriel Macías Mora;7/9/1998;20;175.26;73.9;CM,CDM;Mexico;62;75;550000;3000;Right
J. Kitolano;John Kitolano;10/18/1999;19;175.26;64.9;LWB,LB;Norway;62;77;550000;4000;Left
L. Grorud;Lars Grorud;7/2/1983;35;187.96;86.2;CB;Norway;62;62;90000;1000;Right
P. Beruatto;Pietro Beruatto;12/21/1998;20;182.88;78;LB;Italy;62;78;575000;5000;Left
V. Gyökeres;Viktor Gyökeres;6/4/1998;20;187.96;86.2;ST,LW,RW;Sweden;62;79;675000;6000;Right
João Pereira;João Duarte Vieira Pereira;5/10/1990;28;182.88;78.9;LB,CB;Portugal;62;62;240000;2000;Left
T. Aldred;Tom Aldred;9/11/1990;28;187.96;83;CB;Scotland;62;63;290000;3000;Right
A. Schäfer;András Schäfer;4/13/1999;19;152.4;67.1;LM,CM;Hungary;62;77;650000;1000;Right
L. O'Brien;Lewis O'Brien;10/14/1998;20;172.72;63;CM,RM,LM;England;62;76;650000;4000;Left
M. Simon;Matt Simon;1/22/1986;33;187.96;78;ST;Australia;62;62;240000;1000;Right
Rubén Enri;Rubén Enri Garcia;4/10/1998;20;154.94;72.1;ST;Spain;62;71;475000;1000;Right
D. Pérez;Danny Pérez;1/23/2000;19;152.4;66.2;RW,ST;Venezuela;62;78;625000;1000;Right
D. Alampasu;Dele Sunday Alampasu;12/24/1996;22;198.12;78;GK;Nigeria;62;72;375000;1000;Right
F. Arkenberg;Fynn Arkenberg;3/4/1996;23;185.42;79.8;CB,CDM,RB;Germany;62;70;375000;1000;Right
S. Segarel;Stanley Segarel;3/4/1994;25;182.88;78.9;ST;France;62;68;425000;3000;Right
Jeong Tae Wook;정태욱 Tae Wook Jeong;5/16/1997;21;193.04;88;CB;Korea Republic;62;70;400000;1000;Right
S. Yatéké;Sterling Yatéké;9/15/1999;19;182.88;79.8;ST;Central African Rep.;62;73;500000;2000;Right
L. Hupfauf;Lukas Hupfauf;9/11/1996;22;175.26;73;RB,CB;Austria;62;70;375000;2000;Right
Ricardo Friedrich;Ricardo Schuck Friedrich;2/18/1993;26;187.96;83;GK;Brazil;62;66;280000;1000;Right
R. Torres;Raúl Damián Torres;8/26/1996;22;172.72;58.1;CM,CDM;Mexico;61;70;375000;6000;Right
H. Futami;二見 宏志;3/20/1992;26;152.4;74.8;CB,LB;Japan;61;61;220000;1000;Left
J. Robinson;Jalen Robinson;5/8/1994;24;175.26;73.9;CB,RB;United States;61;66;290000;1000;Right
Meseguer;Luis Meseguer Villanueva;9/7/1999;19;175.26;69.9;LB,CB,RB;Spain;61;75;450000;1000;Left
D. Anyembe;Daniel Anyembe;7/22/1998;20;187.96;77.1;RB;Denmark;61;73;375000;1000;Right
B. Meredith;Bryan Meredith;8/2/1989;29;187.96;93.9;GK;United States;61;63;210000;1000;Right
Lim Min Hyeok;임민혁 林敏赫;3/5/1994;25;185.42;78.9;GK;Korea Republic;61;69;280000;1000;Right
C. Jones;Curtis Jones;1/30/2001;18;182.88;68;CM,CAM;England;61;82;550000;7000;Right
S. Cordero;Salvador Cordero;3/11/1996;22;152.4;59.9;LB,LM;Chile;61;68;300000;1000;Right
A. Edun;Adetayo Edun;5/14/1998;20;170.18;74.8;CM,LM,LB;England;61;75;550000;6000;Left
K. Garcia;Kevin Garcia;8/21/1990;28;187.96;87.1;CB,LB,LM;United States;61;63;250000;1000;Left
S. Czajkowski;Sebastian Czajkowski;9/15/1996;22;154.94;74.8;ST;Denmark;61;71;425000;2000;Right
I. Marega;Issa Marega;4/20/1998;20;195.58;98;CB,CDM;France;61;71;350000;2000;Right
A. Cervantes;Alan Cervantes;1/17/1998;21;154.94;68;CDM,CM;Mexico;61;73;400000;4000;Right
Ko Tae Won;고태원 高兑沅;5/10/1993;25;187.96;79.8;CB;Korea Republic;61;65;270000;1000;Right
R. Hall-Johnson;Reece Hall-Johnson;5/9/1995;23;172.72;67.1;RB,CB;England;61;67;290000;2000;Right
Jiang Jihong;姜积弘;2/8/1990;29;190.5;88;CB;China PR;61;61;200000;3000;Right
M. Sejmenovic;Mustafa Sejmenovic;1/3/1986;33;185.42;79.8;CB;Bosnia Herzegovina;61;61;140000;2000;Right
G. Postma;Gerald Postma;10/12/1997;21;154.94;74.8;CDM,CM;Netherlands;61;68;300000;1000;Left
J. Ščuk;Jasmin Ščuk;7/14/1990;28;182.88;71.2;CDM,CM;Bosnia Herzegovina;61;61;210000;2000;Right
Raúl Vallejo;Raúl Vallejo Suárez;1/1/1996;23;175.26;73;CAM,CM;Spain;61;65;325000;2000;Right
F. Al Shammari;Fahad Al Shammari;5/5/1981;37;154.94;74.8;GK;Saudi Arabia;61;61;20000;2000;Right
A. Ciss;Amadou Ciss;9/7/1999;19;154.94;69.9;CM;Senegal;61;75;525000;1000;Right
A. Dursun;Abdurrahim Dursun;12/1/1998;20;152.4;69.9;LB;Turkey;61;75;475000;2000;Left
E. Zaldívar;Edgar Zaldivar Valverde;10/17/1996;22;175.26;72.1;CM,RB;Mexico;61;71;400000;3000;Right
S. Schreck;Sam Francis Schreck;1/29/1999;20;154.94;63;CAM;Germany;61;78;550000;4000;Right
T. Cissokho;Till Cissokho;2/8/2000;19;200.66;88;CB;France;61;77;475000;3000;Left
Jorge Mier;Jorge Mier Martínez;2/4/1999;20;175.26;64.9;RB;Spain;61;75;475000;1000;Right
F. Sivetti;Franco Sivetti;5/30/1998;20;152.4;77.1;CM;Argentina;61;71;400000;2000;Right
Liu Junshuai;刘军帅;1/10/1995;24;185.42;79.8;CB,CM;China PR;61;67;290000;3000;Right
A. Sissako;Abdoulaye Sissako;5/26/1998;20;185.42;79.8;CM,CDM;France;61;77;550000;1000;Right
J. Aros;Joaquín Aros Melgarejo;1/23/1996;23;154.94;79.8;RB,CDM;Chile;61;69;325000;1000;Right
R. Hepburn-Murphy;Rushian Hepburn-Murphy;8/28/1998;20;172.72;81.2;ST;England;61;75;550000;2000;Right
A. Halme;Aapo Halme;5/22/1998;20;195.58;78;CB;Finland;61;77;500000;5000;Right
K. O'Connor;Kevin O'Connor;5/7/1995;23;182.88;74.8;LB,CDM;Republic of Ireland;61;69;325000;2000;Left
L. Sotomayor;Luis Sotomayor;12/4/1996;22;152.4;72.1;GK;Chile;61;73;350000;1000;Right
T. Vaiho;Tommi Vaiho;9/13/1988;30;187.96;78;GK;Sweden;61;61;170000;1000;Right
J. Bühler;Johannes Bühler;7/26/1997;21;154.94;73.9;RM,RW,CAM;Germany;61;70;400000;4000;Right
A. Zekaj;Arton Zekaj;4/16/2000;18;187.96;83;CDM;Serbia;61;76;475000;2000;Right
K. Howkins;Kyle Howkins;5/4/1996;22;195.58;83.9;CB;England;61;65;280000;4000;Right
J. Chianese;Joel Joseph Chianese;2/15/1990;29;175.26;74.8;RM;Australia;61;61;250000;1000;Right
C. Hidalgo;Carlos Daniel Hidalgo;4/25/1986;32;182.88;73.9;ST;Colombia;61;61;200000;1000;Right
T. Alarcón;Tomás Alarcón;10/2/1999;19;175.26;69.9;CB,CDM;Chile;61;76;475000;1000;Right
M. Uusitalo;Markus Uusitalo;5/15/1997;21;187.96;91.2;GK;Finland;61;71;325000;1000;Right
C. Reppesgård;Christer  Reppesgård Hansen;3/29/1993;25;187.96;83.9;CB;Norway;61;64;270000;1000;Right
A. Al Hamdan;Abdullah Al Hamdan;9/12/1999;19;185.42;77.1;ST;Saudi Arabia;61;75;525000;3000;Right
A. Ryczkowski;Adam Ryczkowski;4/30/1997;21;152.4;71.2;LM;Poland;61;68;350000;1000;Right
Parra;Carlos Parra Arauzo;2/18/1996;23;170.18;64.9;RB,RM;Spain;61;68;300000;2000;Right
N. Al Omran;Nasser Al Omran;7/13/1997;21;170.18;68.9;CAM;Saudi Arabia;61;69;375000;4000;Right
L. Dietz;Lars Dietz;1/7/1997;22;190.5;78.9;CDM,CB;Germany;61;73;400000;3000;Right
D. Contreras;David Eliécer Contreras Suárez;2/7/1994;25;172.72;62.1;CDM;Colombia;61;68;300000;1000;Right
B. Risa;Birk Risa;2/13/1998;21;187.96;76.2;LB,RW,LW;Norway;61;75;500000;1000;Left
