"",Name,Wiki,Rocket Height
340,Soyuz 2.1a/Volga,https://en.wikipedia.org/wiki/Soyuz-2,
341,Soyuz 2.1b,https://en.wikipedia.org/wiki/Soyuz-2,
342,Soyuz 2.1b/Fregat,https://en.wikipedia.org/wiki/Soyuz-2,42.5 m
343,Soyuz 2.1b/Fregat-M,https://en.wikipedia.org/wiki/Soyuz-2,42.5 m
344,Soyuz 2.1v,https://en.wikipedia.org/wiki/Soyuz-2-1v,
345,Soyuz 2.1v/Volga,https://en.wikipedia.org/wiki/Soyuz-2-1v,
346,Soyuz 5,https://en.wikipedia.org/wiki/Irtysh_(rocket),61.9 m
347,Soyuz 5/Fregat SBU,https://en.wikipedia.org/wiki/Irtysh_(rocket),61.9 m
348,Soyuz 6,,
349,Soyuz 7,https://en.m.wikipedia.org/wiki/Soyuz-7_(rocket),
350,Soyuz FG,https://en.wikipedia.org/wiki/Soyuz-FG,49.5 m
351,Soyuz FG/Fregat,https://en.wikipedia.org/wiki/Soyuz-FG,42.5 m
352,Soyuz L,https://en.wikipedia.org/wiki/Soyuz-L,50.0 m
353,Soyuz M,https://en.wikipedia.org/wiki/Soyuz-M,50.0 m
354,Soyuz ST-A/Fregat,https://en.wikipedia.org/wiki/Soyuz-2,46.2 m
355,Soyuz ST-A/Fregat-M,https://en.wikipedia.org/wiki/Soyuz-2,46.2 m
356,Soyuz ST-B/Fregat-M,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b,46.2 m
357,Soyuz ST-B/Fregat-MT,https://en.wikipedia.org/wiki/Soyuz-2#Soyuz-2.1b,46.2 m
358,Soyuz U,https://en.wikipedia.org/wiki/Soyuz-U,51.1 m
359,Soyuz U2,https://en.wikipedia.org/wiki/Soyuz-U2,34.5 m
360,Soyuz U/Fregat,https://en.wikipedia.org/wiki/Soyuz-U,46.7 m
361,Soyuz U/Ikar,https://en.wikipedia.org/wiki/Soyuz-U,47.3 m
362,Space Shuttle Atlantis,https://en.wikipedia.org/wiki/Space_Shuttle_Atlantis,56.1 m
363,Space Shuttle Challenger,https://en.wikipedia.org/wiki/Space_Shuttle_Challenger,56.1 m
364,Space Shuttle Columbia,https://en.wikipedia.org/wiki/Space_Shuttle_Columbia,56.1 m
365,Space Shuttle Discovery,https://en.wikipedia.org/wiki/Space_Shuttle_Discovery,56.1 m
366,Space Shuttle Endeavour,https://en.wikipedia.org/wiki/Space_Shuttle_Endeavour,56.1 m
367,Sputnik 8A91,https://en.wikipedia.org/wiki/Sputnik_(rocket),31.0 m
368,Sputnik 8K71PS,https://en.wikipedia.org/wiki/Sputnik_(rocket),29.1 m
369,SS-520,https://en.wikipedia.org/wiki/S-Series_(rocket_family)#SS-520,9.54 m
370,SSLV,https://en.wikipedia.org/wiki/Small_Satellite_Launch_Vehicle,34.0 m
371,Starship Prototype,https://en.wikipedia.org/wiki/SpaceX_Starship,50.0 m
372,Starship-Super Heavy,https://en.wikipedia.org/wiki/BFR_(rocket),118.0 m
373,Start,https://en.wikipedia.org/wiki/Start-1#Variants,
374,Start-1,https://en.wikipedia.org/wiki/Start-1,23.0 m
375,Strela,https://en.wikipedia.org/wiki/Strela_(rocket),29.2 m
376,Super Stripy,https://en.wikipedia.org/wiki/SPARK_(rocket),18.0 m
377,Taepodong-1,https://en.wikipedia.org/wiki/Taepodong-1,26.0 m
378,Terran-1,https://en.wikipedia.org/wiki/Relativity_Space#Terran_1_launch_vehicle,
379,Thor-DM 18 Able I,https://en.wikipedia.org/wiki/Thor-Able,27.0 m
380,Thor DM-18 Able-II,https://en.wikipedia.org/wiki/Thor-Able,
381,Thor DM-18 Able-III,https://en.wikipedia.org/wiki/Thor-Able,
382,Thor DM-18 Able-IV,https://en.wikipedia.org/wiki/Thor-Able,
383,Thor-DM18 Agena-A,https://en.wikipedia.org/wiki/Thor-Agena,
384,Thor DM-19 Delta,https://en.wikipedia.org/wiki/Thor-Delta,
385,Thor-DM21 Ablestar,https://en.wikipedia.org/wiki/Thor-Ablestar,29.0 m
386,Thor DM-21 Agena-B,https://en.wikipedia.org/wiki/Thor-Agena,
387,Thor DM-21 Agena-D,https://en.wikipedia.org/wiki/Thor-Agena,
388,Thor-DSV2A Ablestar,https://en.wikipedia.org/wiki/Thor-Ablestar,
389,Thor-SLV2A Agena-D,https://en.wikipedia.org/wiki/Thor-Agena,31.0 m
390,Titan 34D,https://en.wikipedia.org/wiki/Titan_34D#Specification,50.0 m
391,Titan II(23)G,https://en.wikipedia.org/wiki/Titan_23G,42.9 m
392,Titan II GLV,https://en.wikipedia.org/wiki/Titan_II_GLV,33.2 m
393,Titan III(23)B,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_23B,45.0 m
394,Titan III(23)C,https://en.wikipedia.org/wiki/Titan_IIIC,42.0 m
395,Titan III(24)B,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_24B,50.0 m
396,Titan-III(33)B Agena-D,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_33B,45.0 m
397,Titan III(34)B Agena-D,https://en.wikipedia.org/wiki/Titan_IIIB#Titan_34B,45.0 m
398,Titan IIIA,https://en.wikipedia.org/wiki/Titan_IIIA,42.0 m
399,Titan IIIB,https://en.wikipedia.org/wiki/Titan_IIIB,45.0 m
400,Titan IIIC,https://en.wikipedia.org/wiki/Titan_IIIC,42.0 m
401,Titan IIID,https://en.wikipedia.org/wiki/Titan_IIID,36.0 m
402,Titan IIIE,https://en.wikipedia.org/wiki/Titan_IIIE,48.8 m
403,Titan IV(401)A,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,63.0 m
404,Titan IV(401)B,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,62.0 m
405,Titan IV(402)A,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,54.0 m
406,Titan IV(402)B,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,54.0 m
407,Titan IV(403)A,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,54.0 m
408,Titan IV(403)B,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,54.0 m
409,Titan IV(404)A,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,54.0 m
410,Titan IV(404)B,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,54.0 m
411,Titan IV(405)A,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-A,54.0 m
412,Titan IV(405)B,https://en.wikipedia.org/wiki/Titan_IV#Titan_IV-B,54.0 m
413,Tsyklon,https://en.wikipedia.org/wiki/Tsyklon,40.0 m
414,Tsyklon-2,https://en.wikipedia.org/wiki/Tsyklon-2,
415,Tsyklon-2A,https://en.wikipedia.org/wiki/Tsyklon,
