Unnamed: 0,Company Name,Location,Datum,Detail,Status Rocket," Rocket",Status Mission
619,KARI,"LC-1, Naro Space Center, South Korea","Wed Jan 30, 2013",Naro-1 | STSAT-2C,StatusRetired,,Success
620,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sun Jan 27, 2013",H-IIA 202 | IGS-Optical 5V & IGS-Radar 4,StatusActive,"90.0 ",Success
621,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Jan 15, 2013",Rokot/Briz KM | Cosmos 2482 to 2484,StatusRetired,"41.8 ",Partial Failure
622,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Dec 19, 2012","Ariane 5 ECA | Skynet 5D, Mexsat-3",StatusActive,"200.0 ",Success
623,KCST,"Pad 1, Sohae Satellite Launching Station, North Korea","Wed Dec 12, 2012",Unha-3 | Kwangmyngsng-3 (Unit 2),StatusActive,,Success
624,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Tue Dec 11, 2012",Atlas V 501 | OTV-3,StatusActive,"120.0 ",Success
625,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Mon Dec 03, 2012",Zenit-3 SL | Eutelsat-70B,StatusActive,,Success
626,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Sun Dec 02, 2012",Soyuz ST-A/Fregat | Pl??iades 1B,StatusActive,"80.0 ",Success
627,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Nov 10, 2012","Ariane 5 ECA | Eutelsat 21B, Star One C3",StatusActive,"200.0 ",Success
628,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Fri Oct 12, 2012",Soyuz ST-B/Fregat-MT | Galileo IOV FM03-FM04,StatusActive,,Success
629,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Oct 08, 2012",Falcon 9 v1.0 | CRS-1,StatusRetired,"59.5 ",Partial Failure
630,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Thu Oct 04, 2012","Delta IV Medium+ (4,2) | GPS IIF-3",StatusRetired,"164.0 ",Success
631,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Sep 28, 2012","Ariane 5 ECA | Astra 2F, GSAT-10",StatusActive,"200.0 ",Success
632,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Sat Sep 22, 2012",Safir-1B+ | Unknown Payload,StatusActive,,Failure
633,ULA,"SLC-3E, Vandenberg AFB, California, USA","Thu Sep 13, 2012",Atlas V 401 | NROL-36,StatusActive,"109.0 ",Success
634,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Sun Sep 09, 2012",PSLV-CA | SPOT-6 & mRESINS & PROITERES,StatusActive,"21.0 ",Success
635,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Aug 30, 2012",Atlas V 401 | Van Allen Probes (RBSP),StatusActive,"109.0 ",Success
636,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sun Aug 19, 2012",Zenit-3 SL | Intelsat-21,StatusActive,,Success
637,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Aug 02, 2012","Ariane 5 ECA | Intelsat 20, HYLAS 2",StatusActive,"200.0 ",Success
638,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Sat Jul 28, 2012",Rokot/Briz KM | Cosmos 2481 & Goniets-M 13 and 15,StatusRetired,"41.8 ",Success
639,MHI,"LA-Y2, Tanegashima Space Center, Japan","Sat Jul 21, 2012",H-IIB | HTV-3,StatusRetired,"112.5 ",Success
640,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jul 05, 2012","Ariane 5 ECA | EchoStar XVII, MSG-3",StatusActive,"200.0 ",Success
641,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Fri Jun 29, 2012",Delta IV Heavy | NROL-15,StatusActive,"350.0 ",Success
642,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Wed Jun 20, 2012",Atlas V 401 | NROL-38,StatusActive,"109.0 ",Success
643,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Sat Jun 16, 2012",Long March 2F/G | Shenzhou 9,StatusActive,,Success
644,Northrop,"Stargazer, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA","Wed Jun 13, 2012",Pegasus XL | NuSTAR,StatusActive,"40.0 ",Success
645,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Fri Jun 01, 2012",Zenit-3 SL | Intelsat-19,StatusActive,,Success
646,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Wed May 23, 2012",Safir-1B+ | Unknown Payload,StatusActive,,Failure
647,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue May 22, 2012",Falcon 9 v1.0 | COTS-2+,StatusRetired,"59.5 ",Success
648,MHI,"LA-Y1, Tanegashima Space Center, Japan","Thu May 17, 2012","H-IIA 202 | Shizuku, KOMPSAT 3 & Others",StatusActive,"90.0 ",Success
649,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue May 15, 2012","Ariane 5 ECA | JCSAT-13, Vinasat-2",StatusActive,"200.0 ",Success
650,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri May 04, 2012",Atlas V 531 | AEHF-2,StatusActive,"140.0 ",Success
651,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Apr 26, 2012",PSLV-XL | RISAT-1,StatusActive,"31.0 ",Success
652,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Thu Apr 26, 2012",PSLV-XL | PSLV- C19 RISAT-1,StatusActive,"31.0 ",Success
653,KCST,"Pad 1, Sohae Satellite Launching Station, North Korea","Thu Apr 12, 2012",Unha-3 | Kwangmyngsng-3,StatusActive,,Failure
654,ULA,"SLC-6, Vandenberg AFB, California, USA","Tue Apr 03, 2012","Delta IV Medium+ (5,2) | NROL-25",StatusRetired,,Success
655,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Mar 23, 2012",Ariane 5 ES | Edoardo Amaldi ATV,StatusRetired,,Success
656,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Feb 24, 2012",Atlas V 551 | MUOS-1,StatusActive,"153.0 ",Success
657,ESA,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France","Mon Feb 13, 2012","Vega | Lares, AlmaSat-1 & 7 cubesats",StatusActive,"37.0 ",Success
658,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Fri Feb 03, 2012",Safir-1B | Navid,StatusRetired,,Success
659,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Fri Jan 20, 2012","Delta IV Medium+ (5,4) | WGS-4",StatusRetired,,Success
660,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Sat Dec 17, 2011","Soyuz ST-A/Fregat | Pl??iades 1A, SSOT, Elisa",StatusActive,"80.0 ",Success
661,MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon Dec 12, 2011",H-IIA 202 | IGS-Radar 3,StatusActive,"90.0 ",Success
662,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Nov 26, 2011",Atlas V 541 | Mars Science Laboratory,StatusActive,"145.0 ",Success
663,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Tue Nov 08, 2011",Zenit-2 FG | Fobos-Grunt & Yinghuo 1,StatusActive,,Success
664,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Mon Oct 31, 2011",Long March 2F/G | Shenzhou 8,StatusActive,,Success
665,ULA,"SLC-2W, Vandenberg AFB, California, USA","Fri Oct 28, 2011",Delta II 7920-10C | Suomi NPP / ELaNa III,StatusRetired,,Success
666,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Fri Oct 21, 2011",Soyuz ST-B/Fregat-MT | Galileo IOV FM01-FM02,StatusActive,,Success
667,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Oct 12, 2011",PSLV-CA | Megha-Tropiques & Rideshares,StatusActive,"21.0 ",Success
668,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Wed Oct 05, 2011",Zenit-3 SLB | Intelsat 18,StatusActive,,Success
669,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Thu Sep 29, 2011",Long March 2F/T | Tiangong-1,StatusActive,,Success
670,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA","Tue Sep 27, 2011",Minotaur IV | TacSat-4,StatusActive,"46.0 ",Success
671,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Sat Sep 24, 2011",Zenit-3 SL | Atlantic Bird 7,StatusActive,,Success
672,MHI,"LA-Y1, Tanegashima Space Center, Japan","Fri Sep 23, 2011",H-IIA 202 | IGS-Optical 4,StatusActive,"90.0 ",Success
673,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Sep 21, 2011","Ariane 5 ECA | Arabsat-5C, SES-2",StatusActive,"200.0 ",Success
674,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sun Sep 11, 2011",H-IIA 202 | Michibiki 1,StatusActive,"90.0 ",Success
675,ULA,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Sep 10, 2011",Delta II 7920H-10C | GRAIL,StatusRetired,,Success
676,Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia","Wed Aug 17, 2011",Dnepr | Sich 2 & Others,StatusRetired,"29.0 ",Success
677,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Aug 06, 2011","Ariane 5 ECA | Astra 1N, BSAT-3C (JCSAT-110R)",StatusActive,"200.0 ",Success
678,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Aug 05, 2011",Atlas V 551 | Juno,StatusActive,"153.0 ",Success
679,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Mon Jul 18, 2011",Zenit-3 SLBF | Spektr-R,StatusActive,,Success
680,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sat Jul 16, 2011","Delta IV Medium+ (4,2) | GPS IIF-2",StatusRetired,"164.0 ",Success
681,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Fri Jul 15, 2011",PSLV-XL | GSAT-12,StatusActive,"31.0 ",Success
682,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Jul 08, 2011",Space Shuttle Atlantis | STS-135,StatusRetired,"450.0 ",Success
683,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Thu Jun 30, 2011",Minotaur I | ORS-1,StatusActive,"40.0 ",Success
684,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Wed Jun 15, 2011",Safir-1A | Rasad 1,StatusRetired,,Success
685,ULA,"SLC-2W, Vandenberg AFB, California, USA","Fri Jun 10, 2011",Delta II 7320-10C | SAC-D,StatusRetired,,Success
686,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri May 20, 2011","Ariane 5 ECA | ST-2, GSAT-8",StatusActive,"200.0 ",Success
687,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon May 16, 2011",Space Shuttle Endeavour | STS-134,StatusRetired,"450.0 ",Success
688,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat May 07, 2011",Atlas V 401 | SBIRS GEO-1,StatusActive,"109.0 ",Success
689,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Apr 22, 2011","Ariane 5 ECA | Yahsat 1A, Intelsat 28 (New Dawn)",StatusActive,"200.0 ",Success
690,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Apr 20, 2011",PSLV-G | ResourceSat-2 & X-Sat & YouthSat,StatusRetired,"25.0 ",Success
691,ULA,"SLC-3E, Vandenberg AFB, California, USA","Fri Apr 15, 2011",Atlas V 411 | NROL-34,StatusActive,"115.0 ",Success
692,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Fri Mar 11, 2011","Delta IV Medium+ (4,2) | NROL-27",StatusRetired,"164.0 ",Success
693,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Mar 05, 2011",Atlas V 501 | OTV-2,StatusActive,"120.0 ",Success
694,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Fri Mar 04, 2011","Minotaur C (Taurus) | Glory, KySat-1, Hermes, and Explorer-1 [PRIME]",StatusActive,"45.0 ",Failure
695,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Thu Feb 24, 2011",Space Shuttle Discovery | STS-133,StatusRetired,"450.0 ",Success
696,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 15, 2011",Ariane 5 ES | Johannes Kepler ATV,StatusRetired,,Success
697,Northrop,"SLC-8, Vandenberg AFB, California, USA","Sun Feb 06, 2011",Minotaur I | NROL-66,StatusActive,"40.0 ",Success
698,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Feb 01, 2011",Rokot/Briz KM | Cosmos 2470,StatusRetired,"41.8 ",Partial Failure
699,MHI,"LA-Y2, Tanegashima Space Center, Japan","Sat Jan 22, 2011",H-IIB | HTV-2,StatusRetired,"112.5 ",Success
700,ULA,"SLC-6, Vandenberg AFB, California, USA","Thu Jan 20, 2011",Delta IV Heavy | NROL-49,StatusActive,"350.0 ",Success
701,Roscosmos,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Thu Jan 20, 2011",Zenit-3 SLBF | Elektro-L n†­1,StatusActive,,Success
702,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Dec 29, 2010","Ariane 5 ECA | Koreasat 6, Hispasat-1E",StatusActive,"200.0 ",Success
703,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Sat Dec 25, 2010",GSLV Mk I | GSAT-5P,StatusRetired,"47.0 ",Failure
704,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Dec 08, 2010",Falcon 9 v1.0 | COTS-1,StatusRetired,"59.5 ",Success
705,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Nov 26, 2010","Ariane 5 ECA | Intelsat 17, HYLAS-1",StatusActive,"200.0 ",Success
706,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sun Nov 21, 2010",Delta IV Heavy | NROL-32,StatusActive,"350.0 ",Success
707,Northrop,"LP-1, Pacific Spaceport Complex, Alaska, USA","Sat Nov 20, 2010",Minotaur IV | STP-S26,StatusActive,"46.0 ",Success
708,ULA,"SLC-2W, Vandenberg AFB, California, USA","Sat Nov 06, 2010",Delta II 7420-10C | COSMO-4,StatusRetired,,Success
709,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 28, 2010","Ariane 5 ECA | Eutelsat W3B, BSAT-3B",StatusActive,"200.0 ",Success
710,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Thu Sep 30, 2010",Molniya-M /Block 2BL | Cosmos 2469,StatusRetired,,Success
711,Northrop,"SLC-8, Vandenberg AFB, California, USA","Sun Sep 26, 2010",Minotaur IV | SBSS,StatusActive,"46.0 ",Success
712,ULA,"SLC-3E, Vandenberg AFB, California, USA","Tue Sep 21, 2010",Atlas V 501 | NROL-41,StatusActive,"120.0 ",Success
713,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Sep 08, 2010","Rokot/Briz KM | Cosmos 2467, 2468 and Goniets-M 12",StatusRetired,"41.8 ",Success
714,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Aug 14, 2010",Atlas V 531 | AEHF-1,StatusActive,"140.0 ",Success
715,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Aug 04, 2010","Ariane 5 ECA | Nilesat-201, Rascom-QAF 1R",StatusActive,"200.0 ",Success
716,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Mon Jul 12, 2010",PSLV-CA | Cartosat-2B & Rideshares,StatusActive,"21.0 ",Success
717,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Jun 26, 2010","Ariane 5 ECA | Arabsat-5A, COMS-1",StatusActive,"200.0 ",Success
718,IAI,"Pad 1, Palmachim Airbase, Israel","Tue Jun 22, 2010",Shavit-2 | Ofek-9,StatusActive,,Success
719,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Mon Jun 21, 2010",Dnepr | TanDEM-X,StatusRetired,"29.0 ",Success
720,Kosmotras,"Site 370/13, Yasny Cosmodrome, Russia","Tue Jun 15, 2010",Dnepr | Picard & Others,StatusRetired,"29.0 ",Success
721,KARI,"LC-1, Naro Space Center, South Korea","Thu Jun 10, 2010",Naro-1 | STSAT-2B,StatusRetired,,Failure
722,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Fri Jun 04, 2010",Falcon 9 v1.0 | Flight 1,StatusRetired,"59.5 ",Success
723,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Wed Jun 02, 2010",Rokot/Briz KM | SERVIS-2,StatusRetired,"41.8 ",Success
724,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Fri May 28, 2010","Delta IV Medium+ (4,2) | GPS IIF-1",StatusRetired,"164.0 ",Success
725,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri May 21, 2010",Ariane 5 ECA | Astra 3B  & COMSATBw-2,StatusActive,"200.0 ",Success
726,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri May 14, 2010",Space Shuttle Atlantis | STS-132,StatusRetired,"450.0 ",Success
727,MHI,"LA-Y1, Tanegashima Space Center, Japan","Mon May 10, 2010","H-IIA 202 | Akatsuki, IKAROS & Others",StatusActive,"90.0 ",Success
728,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Apr 28, 2010",Soyuz U | Progress M-05M,StatusRetired,,Success
729,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Apr 27, 2010",Cosmos-3M (11K65M) | Cosmos 2463,StatusRetired,,Success
730,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Apr 22, 2010",Atlas V 501 | OTV-1,StatusActive,"120.0 ",Success
731,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Thu Apr 15, 2010",GSLV Mk II | GSAT-4,StatusActive,"47.0 ",Failure
732,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Thu Apr 08, 2010",Dnepr | CryoSat-2,StatusRetired,"29.0 ",Success
733,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Apr 05, 2010",Space Shuttle Discovery | STS-131,StatusRetired,"450.0 ",Success
734,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Fri Apr 02, 2010",Soyuz FG | Soyuz TMA-18,StatusRetired,,Success
735,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Thu Mar 04, 2010","Delta IV Medium+ (4,2) | GOES 15",StatusRetired,"164.0 ",Success
736,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Feb 11, 2010",Atlas V 401 | SDO,StatusActive,"109.0 ",Success
737,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Feb 08, 2010",Space Shuttle Endeavour | STS-130,StatusRetired,"450.0 ",Success
738,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Feb 03, 2010",Soyuz U | Soyuz-U,StatusRetired,,Success
739,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Dec 18, 2009",Ariane 5 GS | Helios 2B,StatusRetired,,Success
740,ULA,"SLC-2W, Vandenberg AFB, California, USA","Mon Dec 14, 2009",Delta II 7320-10C | WISE,StatusRetired,,Success
741,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sun Dec 06, 2009","Delta IV Medium+ (5,4) | WGS-3",StatusRetired,,Success
742,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Mon Nov 30, 2009",Zenit-3 SLB | Intelsat 15,StatusActive,,Success
743,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sat Nov 28, 2009",H-IIA 202 | IGS-Optical 3,StatusActive,"90.0 ",Success
744,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Mon Nov 23, 2009",Atlas V 431 | Intersat 14,StatusActive,"130.0 ",Success
745,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon Nov 16, 2009",Space Shuttle Atlantis | STS-129,StatusRetired,"450.0 ",Success
746,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Mon Nov 02, 2009",Rokot/Briz KM | SMOS and Proba-2,StatusRetired,"41.8 ",Success
747,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 29, 2009",Ariane 5 ECA | NSS-12 & Thor-6,StatusActive,"200.0 ",Success
748,NASA,"LC-39B, Kennedy Space Center, Florida, USA","Wed Oct 28, 2009",Ares 1-X | Ares 1-X Test Flight,StatusRetired,"450.0 ",Success
749,ULA,"SLC-3E, Vandenberg AFB, California, USA","Sun Oct 18, 2009",Atlas V 401 | DMSP-5D3-F18,StatusActive,"109.0 ",Success
750,ULA,"SLC-2W, Vandenberg AFB, California, USA","Thu Oct 08, 2009",Delta II 7920-10C | WorldView-2,StatusRetired,,Success
751,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Oct 01, 2009",Ariane 5 ECA | Amazonas 2 & COMSATBw-1,StatusActive,"200.0 ",Success
752,ULA,"SLC-17B, Cape Canaveral AFS, Florida, USA","Fri Sep 25, 2009",Delta II 7920-10C | STSS Demo,StatusRetired,,Success
753,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Sep 23, 2009",PSLV-CA | Oceansat-2 & Rideshares,StatusActive,"21.0 ",Success
754,MHI,"LA-Y2, Tanegashima Space Center, Japan","Thu Sep 10, 2009",H-IIB | HTV-1,StatusRetired,"112.5 ",Success
755,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Tue Sep 08, 2009",Atlas V 401 | PAN,StatusActive,"109.0 ",Success
756,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 28, 2009",Space Shuttle Discovery | STS-128,StatusRetired,"450.0 ",Success
757,KARI,"LC-1, Naro Space Center, South Korea","Tue Aug 25, 2009",Naro-1 | STSAT-2A,StatusRetired,,Failure
758,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Fri Aug 21, 2009",Ariane 5 ECA | JCSAT-12 & Optus D3,StatusActive,"200.0 ",Success
759,ULA,"SLC-17A, Cape Canaveral AFS, Florida, USA","Mon Aug 17, 2009",Delta II 7925 | GPS IIRM-8,StatusRetired,,Success
760,Kosmotras,"Site 109/95, Baikonur Cosmodrome, Kazakhstan","Wed Jul 29, 2009",Dnepr | DubaiSat 1 & Others,StatusRetired,"29.0 ",Success
761,VKS RF,"Site 132/1, Plesetsk Cosmodrome, Russia","Tue Jul 21, 2009",Cosmos-3M (11K65M) | Cosmos 2454,StatusRetired,,Success
762,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Wed Jul 15, 2009",Space Shuttle Endeavour | STS-127,StatusRetired,"450.0 ",Success
763,SpaceX,"Omelek Island, Ronald Reagan Ballistic Missile Defense Test Site, Marshall Islands, USA","Tue Jul 14, 2009",Falcon 1 | RazakSat,StatusRetired,"7.0 ",Success
764,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Mon Jul 06, 2009",Rokot/Briz KM | Cosmos 2451 to 2453,StatusRetired,"41.8 ",Success
765,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Wed Jul 01, 2009",Ariane 5 ECA | TerreStar-1,StatusActive,"200.0 ",Success
766,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sat Jun 27, 2009","Delta IV Medium+ (4,2) | GOES-O",StatusRetired,"164.0 ",Success
767,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Sun Jun 21, 2009",Zenit-3 SLB | MEASAT 3a,StatusActive,,Success
768,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Jun 18, 2009",Atlas V 421 | LRO/LCROSS,StatusActive,"123.0 ",Success
769,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Tue May 19, 2009",Minotaur I | TacSat-3 / PharmaSat / AeroCube 3 / HawkSat I / CP6,StatusActive,"40.0 ",Success
770,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu May 14, 2009",Ariane 5 ECA | Herschel Space Observatory & Planck,StatusActive,"200.0 ",Success
771,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Mon May 11, 2009",Space Shuttle Atlantis | STS-125,StatusRetired,"450.0 ",Success
772,ULA,"SLC-2W, Vandenberg AFB, California, USA","Tue May 05, 2009",Delta II 7920-10C | STSS-ATRR,StatusRetired,,Success
773,Sea Launch,"LP Odyssey, Kiritimati Launch Area, Pacific Ocean","Mon Apr 20, 2009",Zenit-3 SL | Sicral-1B,StatusActive,,Success
774,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Mon Apr 20, 2009",PSLV-CA | RISAT-2 & ANUSAT,StatusActive,"21.0 ",Success
775,KCST,"Pad 1, Tonghae Satellite Launching Ground, North Korea","Sun Apr 05, 2009",Unha-2 | Kwangmyngsng-2,StatusRetired,,Failure
776,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sat Apr 04, 2009",Atlas V 421 | WGS-2,StatusActive,"123.0 ",Success
777,ULA,"SLC-17A, Cape Canaveral AFS, Florida, USA","Tue Mar 24, 2009",Delta II 7925 | GPS IIRM-7,StatusRetired,,Success
778,Eurockot,"Site 133/3, Plesetsk Cosmodrome, Russia","Tue Mar 17, 2009",Rokot/Briz KM | GOCE,StatusRetired,"41.8 ",Success
779,NASA,"LC-39A, Kennedy Space Center, Florida, USA","Sun Mar 15, 2009",Space Shuttle Discovery | STS-119,StatusRetired,"450.0 ",Success
780,ULA,"SLC-17B, Cape Canaveral AFS, Florida, USA","Sat Mar 07, 2009",Delta II 7925-10L | Kepler,StatusRetired,,Success
781,Land Launch,"Site 45/1, Baikonur Cosmodrome, Kazakhstan","Thu Feb 26, 2009",Zenit-3 SLB | Telstar-11N,StatusActive,,Success
782,Northrop,"SLC-576E, Vandenberg AFB, California, USA","Tue Feb 24, 2009",Minotaur C (Taurus) | Orbiting Carbon Observatory,StatusActive,"45.0 ",Failure
783,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Feb 12, 2009","Ariane 5 ECA | Hot Bird 10, NSS-9, Spirale-A & B",StatusActive,"200.0 ",Success
784,ULA,"SLC-2W, Vandenberg AFB, California, USA","Fri Feb 06, 2009",Delta II 7320-10C | NOAA-N Prime,StatusRetired,,Success
785,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Mon Feb 02, 2009",Safir-1 | Omid,StatusRetired,,Success
786,VKS RF,"Site 32/2, Plesetsk Cosmodrome, Russia","Fri Jan 30, 2009",Tsyklon-3 | Koronas Foton,StatusRetired,,Success
787,MHI,"LA-Y1, Tanegashima Space Center, Japan","Fri Jan 23, 2009","H-IIA 202 | Ibuki, Maido 1 & Others",StatusActive,"90.0 ",Success
788,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA","Sun Jan 18, 2009",Delta IV Heavy | NROL-26,StatusActive,"350.0 ",Success
789,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Sat Dec 20, 2008",Ariane 5 ECA | Hot Bird 9 & Eutelsat W2M,StatusActive,"200.0 ",Success
790,VKS RF,"Site 16/2, Plesetsk Cosmodrome, Russia","Tue Dec 02, 2008",Molniya-M /Block 2BL | Cosmos 2446,StatusRetired,,Success
